"zone","wind_speed","wind_dir","temp","rh","dewpoint","pressure","radiation","soil"
"Alona_3.7.19_0520_W",1.125,179.7,23,84,20.25,991.214,59.49,23.57
"Alona_3.7.19_0730_E",0.873,204.6,28.35,64.91,21.24,992.152,506.53,36.37
"Alona_3.7.19_0730_W",0.873,204.6,28.35,64.91,21.24,992.152,506.53,36.37
"Alona_3.7.19_0930_E",1.349,284.1,29.04,59.09,20.37,992.302,545.78,41.19
"Alona_3.7.19_0930_W",1.349,284.1,29.04,59.09,20.37,992.302,545.78,41.19
"Alona_3.7.19_1700_E",2.177,306.8,28.82,62.65,21.09,991.752,337.13,38.82
"Alona_3.7.19_1700_W",2.177,306.8,28.82,62.65,21.09,991.752,337.13,38.82
"Alona_3.7.19_1750_E",2.063,310.7,27.75,66.03,20.92,991.821,163.37,33.88
"Alona_3.7.19_1750_W",2.063,310.7,27.75,66.03,20.92,991.821,163.37,33.88
"Alona_3.7.19_1850_E",1.317,301.5,25.99,73.81,21.03,992.05,8.66,28.74
"Alona_3.7.19_1850_W",1.317,301.5,25.99,73.81,21.03,992.05,8.66,28.74
"Alona_3.7.19_1910",0.545,270.2,25.5,76.69,21.19,992.23,1.45,28.12
"Alona_5.6.19_1230_E",2.593,322.4,33.45,39.1,17.83,993.457,931.07,53.33
"Alona_5.6.19_1230_W",2.593,322.4,33.45,39.1,17.83,993.457,931.07,53.33
"Mishmar_3.3.20_0710_N",1.437,26.12,16.78,56.21,8.14,1060.8,187.07,13.53
"Mishmar_3.3.20_0710_S",1.437,26.12,16.78,56.21,8.14,1060.8,187.07,13.53
"Mishmar_3.3.20_0910_W",2.87,34.21,19.28,52.26,9.36,1060.916,597.71,20.55
"Mishmar_3.3.20_1210_E",2.735,34.79,22.33,45.3,10.07,1058.662,810.02,29.04
"Mishmar_3.3.20_1210_W",2.735,34.79,22.33,45.3,10.07,1058.662,810.02,29.04
"Mishmar_3.3.20_1320_N",2.309,42.22,23.09,42.54,9.86,1057.143,719.22,29.5
"Mishmar_3.3.20_1320_S",2.309,42.22,23.09,42.54,9.86,1057.143,719.22,29.5
"Mishmar_3.3.20_1410_N",1.594,23.22,23.49,41.11,9.68,1056.509,604.75,29.42
"Mishmar_3.3.20_1410_S",1.594,23.22,23.49,41.11,9.68,1056.509,604.75,29.42
"Mishmar_3.3.20_1510_N",1.586,35.95,23.94,40,9.74,1055.9,421.68,26.85
"Mishmar_3.3.20_1510_S",1.586,35.95,23.94,40,9.74,1055.9,421.68,26.85
"Mishmar_30.7.19_0640_E",1.537,18.89,32.42,40.99,17.64,1047.955,310.89,32.67
"Mishmar_30.7.19_0640_W",1.537,18.89,32.42,40.99,17.64,1047.955,310.89,32.67
"Mishmar_30.7.19_0740_N",1.525,20.58,33.17,43.66,19.28,1048.352,533.55,38.13
"Mishmar_30.7.19_0740_S",1.525,20.58,33.17,43.66,19.28,1048.352,533.55,38.13
"Mishmar_30.7.19_0820_N",1.376,25.81,34.42,39.91,19.02,1048.443,669.14,42.43
"Mishmar_30.7.19_0820_S",1.376,25.81,34.42,39.91,19.02,1048.443,669.14,42.43
"Zeelim_18.9.19_0900_E",3.94,28.56,30.84,44.74,17.57,1042.533,635.44,38.35
"Zeelim_18.9.19_0900_W",3.94,28.56,30.84,44.74,17.57,1042.533,635.44,38.35
"Zeelim_18.9.19_1200_E",2.193,28.04,34.03,37.04,17.49,1040.165,853.94,50.29
"Zeelim_18.9.19_1200_W",2.193,28.04,34.03,37.04,17.49,1040.165,853.94,50.29
"Zeelim_18.9.19_1300_E",1.798,53.27,35.89,32.35,17.01,1039.233,793.85,51.55
"Zeelim_18.9.19_1300_W",1.798,53.27,35.89,32.35,17.01,1039.233,793.85,51.55
"Zeelim_18.9.19_1400_E",1.907,155.3,37.04,27.84,15.68,1038.664,663.46,50.1
"Zeelim_18.9.19_1400_W",1.907,155.3,37.04,27.84,15.68,1038.664,663.46,50.1
"Zeelim_18.9.19_1500_E",1.226,139.7,37.75,27,15.85,1038.1,485.48,47.55
"Zeelim_18.9.19_1500_W",1.226,139.7,37.75,27,15.85,1038.1,485.48,47.55
"Zeelim_18.9.19_1720_E",1.177,155,37.46,24.48,14.11,1037.955,30.11,36.45
"Zeelim_18.9.19_1720_W",1.177,155,37.46,24.48,14.11,1037.955,30.11,36.45
"Zeelim_23.9.19_0610_E",1.518,290.4,28.3,42.25,14.41,1042.808,113.83,25.94
"Zeelim_23.9.19_0610_W",1.518,290.4,28.3,42.25,14.41,1042.808,113.83,25.94
"Zeelim_23.9.19_0700_E",0.477,351.4,30.51,39,15.24,1043.162,294.43,30.52
"Zeelim_23.9.19_0700_W",0.477,351.4,30.51,39,15.24,1043.162,294.43,30.52
