,Zone,Flight,Station_ME,ERA5_ME,Station_MAE,ERA5_MAE
0,Med,Alona_11.11.19_1100_2,3.1797605641179225,0.41906100314290573,3.9687228961033236,2.751789106011141
1,Med,Alona_12.9.19_1600_4,1.1317493560324852,-3.052681021953334,3.2550095983472973,4.018289712487397
2,Des,Zeelim_23.9.19_1410_3,-3.4515636136243946,-14.34593974378396,3.728830917835887,14.34593974378396
3,Med,Alona_2.7.19_1340_3,-3.4732074277432954,-5.0049700154667836,4.636200640522827,5.875887625566058
4,Med,Alona_11.11.19_1450_3,4.58633893473473,3.2605198407711886,4.643670631383184,3.962399317211624
5,Des,Zeelim_29.5.19_1730_5,0.2849391501361207,-5.690654138724454,1.2410465026692108,5.692886359046063
6,Des,Zeelim_18.9.19_0900_1,-3.803347439641648,-16.933079536503975,3.9047754872937763,16.933079536503975
7,Des,Zeelim_31.05.21_1140_4,1.8674529652250826,-8.197499614687729,2.261309332669695,8.197504239961454
8,Des,Zeelim_30.5.19_0630_1,1.970226842441704,-10.182273315303632,2.028726463087276,10.182273315303632
9,Des,Zeelim_30.1.20_0950_2,0.7533807084383825,-9.727507719897998,0.95623288245587,9.727507719897998
10,Med,Alona_13.12.20_0840_5,3.0810851027266275,3.1004701900009373,3.0815889981994182,3.1049531586723416
11,Med,Alona_25.11.19_0750_2,0.517519210248393,-3.122385585726186,1.2116424752339432,3.1233779466894314
12,Des,Mishmar_30.7.19_0500_2,-5.021734083182698,-7.426115797819734,5.02446672028177,7.426115797819734
13,Med,Alona_5.6.19_1230_5,-3.0424466034742346,-5.585935889341324,5.533304182711865,6.107476868283591
14,Des,Mishmar_3.3.20_1210_2,-0.004874787266150357,-6.769507432210366,0.9398956924648544,6.773525345213313
15,Med,Alona_5.6.19_1740_1,1.799568047936552,1.4943208696718489,2.0469564862856533,1.6727602864020232
16,Des,Mishmar_30.7.19_0740_3,3.4919016438718025,-5.045489408210516,3.70828503217998,5.045935053056302
17,Med,Alona_13.12.20_0925_5,7.399647645421645,8.615951840661092,7.399647645421645,8.615951840661092
18,Des,Zeelim_30.1.20_1050_1,3.59844918546732,-6.368310101673491,3.6068711803835107,6.368697269637749
19,Des,Zeelim_7.11.19_1100_4,-0.36163631519780365,-9.964563396593892,1.5557880402941937,9.96460461661209
20,Med,Alona_12.9.19_1440_5,-0.9025166299783044,-1.6677727079055882,4.376146487408523,3.9666932644798045
21,Des,Mishmar_12.04.21_1006_1,1.6452664101808099,-12.275528449076116,1.9508311961634457,12.275528449076116
22,Med,Alona_2.7.19_1100_2,-2.1997399011231615,-13.075603258012592,3.6006549506400956,13.07659240892325
23,Med,Alona_2.7.19_0920_1,-1.4851944045986307,-10.830731602521283,3.656031503261749,10.841489245721347
24,Med,Alona_2.7.19_1100_3,-6.072575933049618,-17.5958669288645,6.605501720419677,17.59596693822374
25,Med,Alona_12.9.19_1440_4,1.9150005437415414,0.289756525644905,4.2077417049140315,3.3319153412488602
26,Des,Zeelim_7.11.19_1100_5,-0.9177165421529679,-10.486908759124033,1.9550370258801477,10.487013096217792
27,Med,Alona_13.12.20_0925_4,6.78186261598191,7.113969978210625,6.78186261598191,7.114036673730847
28,Des,Mishmar_30.7.19_0740_2,3.0728822494269337,-5.511233379397212,3.259582125763575,5.511309837936562
29,Des,Mishmar_3.3.20_1210_3,0.04475783726788111,-6.659909415482759,1.6101798155256626,6.679607230791436
30,Des,Zeelim_7.11.19_1550_1,2.481762636414653,-3.264575753119837,2.4894302520345044,3.63648296383478
31,Med,Alona_17.7.19_0900_1,-1.251349011725648,-6.230089614852693,3.5911255372994413,6.3323126210627825
32,Med,Alona_5.6.19_1230_4,-5.270179353669301,-7.8656752825645695,6.443685759291636,8.019015420698617
33,Des,Mishmar_30.7.19_0500_3,-4.334491623191677,-6.256838433029349,4.334806924622336,6.256838433029349
34,Med,Alona_25.11.19_0750_3,0.6268032989015634,-2.817729696594524,1.0528451993196997,2.817788807127403
35,Med,Alona_13.12.20_0840_4,3.5692906534640265,3.7862045188672018,3.5692979700923932,3.786424197754099
36,Des,Zeelim_30.1.20_0950_3,0.6872888909609726,-9.783857157157938,1.054667102604818,9.783857157157938
37,Des,Zeelim_31.05.21_0611_1,3.9830848308913036,4.663069828630573,3.98316680194609,4.663069828630573
38,Des,Zeelim_31.05.21_1140_5,0.42477075324111474,-9.67188539010719,1.8789745879079927,9.67188539010719
39,Des,Zeelim_29.5.19_1730_4,0.9940285503738668,-5.10508837814342,1.2340908739719778,5.112924300365798
40,Med,Alona_2.7.19_1340_2,-4.783211898945903,-6.226438350593641,5.59627939988013,6.8676890724131265
41,Med,Alona_11.11.19_1450_2,4.588343400940934,3.335761795432428,4.661900457614133,4.085498353297826
42,Des,Zeelim_23.9.19_1410_2,-3.1273041146007374,-13.946845324583878,3.5537471420996383,13.946845324583878
43,Med,Alona_12.9.19_1600_5,2.4480619074730807,-1.7896679523082246,3.684052762949517,3.226802538332884
44,Med,Alona_11.11.19_1100_3,2.9582839100295697,0.3964956294158544,3.681109185235443,2.9052302494402693
45,Med,Alona_11.11.19_1100_1,3.5249986424433533,0.823517712013976,4.056666900848311,2.880975305326947
46,Des,Zeelim_18.9.19_0900_2,-5.96517329103787,-18.09121298781495,6.113298388599106,18.09121298781495
47,Med,Alona_25.11.19_0750_1,0.7145831004416608,-2.66399351778628,0.9595850984080537,2.664072128952169
48,Des,Zeelim_30.1.20_0950_1,1.7461852265214288,-8.738244902652037,1.947504744198644,8.738244902652037
49,Des,Zeelim_31.05.21_0611_3,2.0301639983943005,2.3954567208613047,2.0868030680136695,2.3974376703915348
50,Des,Zeelim_30.5.19_0630_2,1.254547441853905,-8.225581004040837,1.4058960535983238,8.225666072399333
51,Des,Zeelim_23.9.19_1510_5,0.024063712634094063,-7.5312208132257465,2.310552173385101,7.531870215218935
52,Des,Mishmar_30.7.19_0500_1,-3.532635139193066,-5.341503388566383,3.53332185748616,5.341503388566383
53,Med,Alona_11.11.19_1550_5,4.5226162801168694,4.463830835155514,4.526196910396869,4.845322014056942
54,Med,Alona_26.2.20_1250_4,2.0748523482219476,2.377290407893401,2.5559830056360013,2.6474366407529795
55,Med,Alona_17.7.19_0900_3,-0.7771050066437689,-5.9760385701271606,2.8115457633527177,6.089012033446865
56,Med,Alona_3.7.19_1750_5,3.3608109089605285,3.489516240368515,3.4506807788889042,3.5213013032101212
57,Des,Zeelim_7.11.19_1550_3,2.0203502465599072,-0.9719566579062607,2.279827043434808,4.5247886243049145
58,Des,Zeelim_31.05.21_1516_5,1.8100609610857497,-5.941142574839056,2.7397689291557685,5.941191871254844
59,Des,Mishmar_3.3.20_1210_1,2.050051834454147,-4.822729284366834,2.6150906919492347,4.999296091279726
60,Des,Zeelim_31.05.21_1805_4,-1.801936256807494,-1.0695009308117664,3.3850025207991266,1.202959225914988
61,Med,Alona_5.6.19_1740_2,1.5282685465731463,1.015329490540803,2.038907766184005,1.4464370999152116
62,Des,Zeelim_30.1.20_1050_2,3.133738033683751,-6.881677309453446,3.138989024997687,6.882589951665719
63,Des,Mishmar_12.04.21_1006_2,6.327632451053009,-9.64300987568035,6.329691580465,9.64300987568035
64,Med,Alona_2.7.19_1100_1,-3.1508044778916235,-13.574672611751152,4.330030595481096,13.576045710990785
65,Med,Alona_2.7.19_0920_2,-0.8432355996860895,-10.767667930749642,3.2360545599547366,10.773532769688632
66,Des,Mishmar_30.7.19_0640_5,2.6100570292717227,-9.862690347382939,2.6242936379902178,9.862690347382939
67,Des,Mishmar_30.7.19_0640_4,1.9149506545078248,-10.806729932819215,1.9709027612669787,10.806729932819215
68,Med,Alona_2.7.19_0920_3,0.026444645503483463,-9.712925301481777,3.127340946484226,9.760337829651409
69,Des,Mishmar_12.04.21_1006_3,6.046734669495588,-10.982411523034548,6.058873353154583,10.982411523034548
70,Des,Zeelim_30.1.20_1050_3,0.9618194295246301,-8.929497250721429,1.1016704998667568,8.929588860194023
71,Med,Alona_5.6.19_1740_3,1.89907876681437,1.6148341456208988,2.295541597470925,1.7740173653522555
72,Des,Mishmar_30.7.19_0740_1,2.0386332317553677,-6.36908418037862,2.1380058068507264,6.36908418037862
73,Des,Zeelim_31.05.21_1805_5,-0.18202791717571573,-0.9767802562831678,3.565423171584504,1.2597245346906627
74,Des,Zeelim_31.05.21_1516_4,1.6602477562926699,-6.031536022935299,2.485875762111864,6.031536022935299
75,Des,Zeelim_7.11.19_1550_2,1.306063370191878,-4.415844113773912,1.8534217058067803,4.975140331598975
76,Med,Alona_3.7.19_1750_4,4.098452811910136,4.298560487314253,4.103455726699407,4.298887601664571
77,Med,Alona_26.2.20_1250_5,0.07479744230574976,0.44600331426976536,2.5368943009428504,2.0054705959099484
78,Med,Alona_17.7.19_0900_2,-0.2597681497335833,-5.563757382022364,3.6644931889390877,5.8335682786447896
79,Med,Alona_11.11.19_1550_4,6.398148987544455,6.891474298714502,6.398155131861384,7.003795793573086
80,Des,Zeelim_23.9.19_1510_4,-2.5829930023715546,-9.213755282750988,3.2476297085466466,9.216030242469582
81,Des,Zeelim_31.05.21_0611_2,4.174636290995385,4.673560869349408,4.174745338179005,4.673561189826444
82,Des,Zeelim_30.5.19_0630_3,2.1571006926488248,-5.225403082754594,2.2393811633856617,5.247164637396446
83,Des,Zeelim_18.9.19_0900_3,-4.539693635866584,-17.10436822579275,4.5525539176247785,17.10436822579275
84,Des,Zeelim_23.9.19_1410_1,-0.13812487066558968,-12.622968415178102,2.3757685756350853,12.622968415178102
85,Med,Alona_11.11.19_1450_1,2.163375987929448,1.8345574622686458,2.962618117110236,3.6782139038150645
86,Med,Alona_2.7.19_1340_1,-3.96977734430124,-5.5908583671648975,4.908833174103046,6.326880323020111
87,Med,Alona_2.7.19_1340_5,-3.1968425726457874,-4.713433501023999,4.257625731046345,5.510901626301985
88,Med,Alona_11.11.19_1450_5,4.855502319290949,3.3999120856084923,5.0885640900829205,4.049099780435542
89,Des,Zeelim_23.9.19_1410_5,-2.1780540710213523,-12.61658095298135,3.4643966157093784,12.61658095298135
90,Med,Alona_12.9.19_1600_2,2.267730813805291,-1.8191943677295652,3.6043114087160646,3.3607324225309343
91,Med,Alona_11.11.19_1100_4,1.444678862993098,-1.0688248132145557,3.597368374388479,3.147609627938489
