zone,wind_speed,wind_dir,air_temp,rh,dewpoint,pressure,radiation,ground_temp,eBee,station.x,station.y,station - IR
Alona_28.01.21_1105,1.022,227.9,17.77,57.24,9.31,997.87,689.53,21.28,14.61,686985.136,3605912.847,6.670000000000002
Alona_28.1.20_0640,1.5,91.0,9.2,69.0,3.8,1003.0,0.0,14.3,7.16356802,686985.1644,3605901.629,7.136431980000001
Alona_28.1.20_0730,1.5,99.0,9.2,70.0,4.0,1004.0,36.0,14.3,7.02,686984.204,3605901.942,7.280000000000001
Alona_28.1.20_0830,2.0,131.0,13.4,61.0,6.0,1004.0,271.0,14.3,11.96,686984.204,3605901.942,2.34
Alona_28.1.20_0930,2.5,157.0,14.8,65.0,8.2,1004.0,352.0,14.3,16.27,686984.204,3605901.942,1.9699999999999989
Alona_28.1.20_1300,3.0,262.0,16.7,66.0,10.3,1002.0,228.0,14.2,17.21,686984.204,3605901.942,3.0100000000000016
Alona_28.1.20_1610,1.6,251.0,15.2,66.0,8.8,1002.0,68.0,14.2,15.13,686984.204,3605901.942,0.9300000000000015
Alona_28.1.20_1700,2.4,283.0,15.0,63.0,8.0,1002.0,19.0,14.2,14.55,686892.91,3605858.41,0.3500000000000014
Alona_3.7.19_0450,1.217,185.3,22.8,84.5,20.14,991.2,30.85,22.62,23.33,687004.271,3605875.477,0.7099999999999973
Alona_3.7.19_0520,1.125,179.7,23.0,84.0,20.25,991.214,59.49,23.57,25.17489052,687010.3888,3605874.956,1.6048905200000014
Alona_3.7.19_0730,0.873,204.6,28.35,64.91,21.24,992.152,506.53,36.37,34.65242767,687010.3888,3605874.956,1.7175723299999959
Alona_3.7.19_0930,1.349,284.1,29.04,59.09,20.37,992.302,545.78,41.19,44.29110718,687010.3888,3605874.956,3.1011071799999996
Alona_3.7.19_1700,2.177,306.8,28.82,62.65,21.09,991.752,337.13,38.82,36.16869736,687010.3888,3605874.956,2.6513026399999973
Alona_3.7.19_1750,2.063,310.7,27.75,66.03,20.92,991.821,163.37,33.88,31.76243973,687010.3888,3605874.956,2.117560270000002
Alona_3.7.19_1850,1.317,301.5,25.99,73.81,21.03,992.05,8.66,28.74,28.55360031,687010.3888,3605874.956,0.18639968999999823
Alona_5.6.19_1030,2.712,313.1,32.91,40.19,17.77,993.391,943.6,50.75,48.42,687004.129,3605878.9,2.3299999999999983
Alona_5.6.19_1230,2.593,322.4,33.45,39.1,17.83,993.457,931.07,53.33,52.73603058,687004.129,3605878.9,0.5939694200000005
Alona_5.6.19_1600,8.0,339.0,35.2,26.0,12.81,993.457,554.0,40.21,39.64,687004.129,3605878.9,0.5700000000000003
Alona_5.6.19_1740,6.9,342.0,33.1,30.0,13.21,993.457,284.0,33.01,32.86,687004.129,3605878.9,0.14999999999999858
Manot_09.03.21_1635,1.043,16.82,19.23,64.87,12.56,1002.344,154.96,19.56,13.1,701405.021,3657923.051,6.459999999999999
Mishmar_12.04.21_1006,3.359,135.5,22.16,36.26,6.649,1050.781,962.23,31.82,23.94,725369.0,3474147.14,7.879999999999999
Mishmar_3.3.20_0710,1.437,26.12,16.78,56.21,8.14,1060.8,187.07,13.53,16.71,725089.203,3474120.347,3.1800000000000015
Mishmar_3.3.20_0804,2.552,32.36,18.16,54.71,9.02,1061.0,370.46,16.2,18.83,725089.203,3474120.347,2.629999999999999
Mishmar_3.3.20_0910,2.87,34.21,19.28,52.26,9.36,1060.916,597.71,20.55,17.3,725887.519,3474230.037,3.25
Mishmar_3.3.20_1210,2.735,34.79,22.33,45.3,10.07,1058.662,810.02,29.04,29.06,725089.246,3474122.377,0.019999999999999574
Mishmar_3.3.20_1320,2.309,42.22,23.09,42.54,9.86,1057.143,719.22,29.5,27.72,725089.246,3474122.377,1.7800000000000011
Mishmar_3.3.20_1410,1.594,23.22,23.49,41.11,9.68,1056.509,604.75,29.42,26.85,725089.246,3474122.377,2.5700000000000003
Mishmar_3.3.20_1510,1.586,35.95,23.94,40.0,9.74,1055.9,421.68,26.85,24.04,725089.246,3474122.377,2.8100000000000023
Mishmar_30.7.19_0500,1.195,237.6,29.47,42.02,15.41,1047.2,7.24,28.5,29.03104591,725905.1567,3474214.147,0.5310459099999996
Mishmar_30.7.19_0640,1.537,18.89,32.42,40.99,17.64,1047.955,310.89,32.67,34.16814041,725905.1567,3474214.147,1.4981404099999978
Mishmar_30.7.19_0740,1.525,20.58,33.17,43.66,19.28,1048.352,533.55,38.13,37.7412262,725085.7504,3474134.79,0.3887738000000027
Mishmar_30.7.19_0820,1.376,25.81,34.42,39.91,19.02,1048.443,669.14,42.43,40.79750061,725086.4805,3474134.776,1.6324993899999996
Yokneam_04.04.21_0756,0.75,82.3,14.85,74.89,10.52,1006.49,480.3,17.8,15.71,696940.338,3611941.406,2.09
Yokneam_04.04.21_0933,2.389,110.9,16.96,68.06,11.12,1007.1,791.03,24.86,14.52,696673.14,3612093.0,10.34
Yokneam_04.04.21_1045,1.222,64.34,19.86,53.31,10.19,1007.668,939.92,30.83,20.33,697456.73,3613276.4,10.5
Yokneam_04.04.21_1100,1.161,54.09,20.13,52.42,10.19,1007.499,952.31,31.52,20.57,697955.55,3613449.29,10.95
Zeelim_10.05.21_1056,2.22,67.99,33.64,38.34,17.65,1038.468,957.91,47.72,43.67,723972.676,3470948.308,4.049999999999997
Zeelim_10.05.21_1156,2.457,28.95,34.58,35.12,17.16,1037.798,969.89,49.93,45.38,723972.676,3470948.308,4.549999999999997
Zeelim_12.04.21_1118,4.949,131.9,21.93,39.22,7.648,1049.935,1021.47,28.76,30.59,723979.228,3470908.843,1.8299999999999983
Zeelim_18.9.19_0900,3.94,28.56,30.84,44.74,17.57,1042.533,635.44,38.35,45.44259262,723998.8133,3470891.064,7.092592619999998
Zeelim_18.9.19_1200,2.193,28.04,34.03,37.04,17.49,1040.165,853.94,50.29,45.58642578,723998.8133,3470891.064,4.70357422
Zeelim_18.9.19_1300,1.798,53.27,35.89,32.35,17.01,1039.233,793.85,51.55,46.10928726,723998.8133,3470891.064,5.440712739999995
Zeelim_18.9.19_1400,1.907,155.3,37.04,27.84,15.68,1038.664,663.46,50.1,44.34906387,723998.8133,3470891.064,5.7509361299999995
Zeelim_18.9.19_1500,1.226,139.7,37.75,27.0,15.85,1038.1,485.48,47.55,43.70305252,723998.8133,3470891.064,3.846947479999997
Zeelim_18.9.19_1720,1.177,155.0,37.46,24.48,14.11,1037.955,30.11,36.45,38.39398956,724786.0646,3471007.174,1.9439895599999986
Zeelim_23.9.19_0610,1.518,290.4,28.3,42.25,14.41,1042.808,113.83,25.94,27.65106964,724004.6664,3470894.202,1.711069639999998
Zeelim_23.9.19_0700,0.477,351.4,30.51,39.0,15.24,1043.162,294.43,30.52,29.26801872,724004.6664,3470894.202,1.251981279999999
Zeelim_23.9.19_0800,1.47,32.02,31.16,43.34,17.37,1043.438,525.07,36.3,35.22454453,724004.6664,3470894.202,1.0754554699999943
Zeelim_23.9.19_0950,1.333,22.73,32.74,40.72,17.81,1043.226,828.85,46.45,41.18777084,724004.6664,3470894.202,5.262229160000004
Zeelim_23.9.19_1100,1.633,27.26,33.7,36.46,16.94,1042.354,906.46,49.88,44.69400406,724004.6664,3470894.202,5.185995940000005
Zeelim_23.9.19_1410,2.19,38.5,36.44,27.03,14.79,1039.992,632.62,48.2,46.20582581,724004.6664,3470894.202,1.9941741900000025
Zeelim_23.9.19_1510,1.733,8.19,36.52,27.42,15.01,1039.802,420.88,45.21,44.71091461,724004.6664,3470894.202,0.49908538999999763
Zeelim_23.9.19_1610,1.522,349.9,36.98,25.0,14.07,1039.7,208.67,40.85,41.08374023,724004.6664,3470894.202,0.2337402299999951
Zeelim_23.9.19_1700,3.355,333.3,35.88,25.0,13.19,1039.797,39.33,34.98,35.84729767,724004.6664,3470894.202,0.8672976700000063
Zeelim_23.9.19_1730,4.305,321.2,34.75,29.0,14.32,1039.921,11.23,33.09,33.60344315,724004.6664,3470894.202,0.5134431499999934
Zeelim_29.5.19_0830,2.348,36.07,29.95,48.29,17.99,1041.111,702.16,38.84,37.6733551,723993.9517,3470912.503,1.1666449000000014
Zeelim_29.5.19_1650,1.154,77.3,40.94,24.97,17.18,1034.4,257.62,45.63,46.41241074,723993.9517,3470912.503,0.782410739999996
Zeelim_29.5.19_1730,1.39,60.33,39.68,25.09,16.32,1034.446,126.86,41.62,41.83160782,723993.9517,3470912.503,0.21160782000000466
Zeelim_30.1.20_0810,3.371,277.0,16.16,55.62,7.398,1054.547,245.91,15.36,15.94,724007.287,3470881.988,0.5800000000000001
